diagnosisId:ID,icdCode,icdVersion,icdTitle,:LABEL
d_4139_9,4139,9,Other and unspecified angina pectoris,Diagnosis
d_V707_9,V707,9,Examination of participant in clinical trial,Diagnosis
d_41401_9,41401,9,Coronary atherosclerosis of native coronary artery,Diagnosis
d_3899_9,3899,9,Unspecified hearing loss,Diagnosis
d_V8532_9,V8532,9,"Body Mass Index 32.0-32.9, adult",Diagnosis
d_25002_9,25002,9,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",Diagnosis
d_71696_9,71696,9,"Arthropathy, unspecified, lower leg",Diagnosis
d_V1083_9,V1083,9,Personal history of other malignant neoplasm of skin,Diagnosis
d_2724_9,2724,9,Other and unspecified hyperlipidemia,Diagnosis
d_V5867_9,V5867,9,Long-term (current) use of insulin,Diagnosis
d_27800_9,27800,9,"Obesity, unspecified",Diagnosis
d_4829_9,4829,9,"Bacterial pneumonia, unspecified",Diagnosis
d_99592_9,99592,9,Severe sepsis,Diagnosis
d_2768_9,2768,9,Hypopotassemia,Diagnosis
d_0388_9,0388,9,Other specified septicemias,Diagnosis
d_78791_9,78791,9,Diarrhea,Diagnosis
d_5601_9,5601,9,Paralytic ileus,Diagnosis
d_2875_9,2875,9,"Thrombocytopenia, unspecified",Diagnosis
d_60001_9,60001,9,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),Diagnosis
d_79092_9,79092,9,Abnormal coagulation profile,Diagnosis
d_5110_9,5110,9,Pleurisy without mention of effusion or current tuberculosis,Diagnosis
d_2859_9,2859,9,"Anemia, unspecified",Diagnosis
d_5849_9,5849,9,"Acute kidney failure, unspecified",Diagnosis
d_78820_9,78820,9,"Retention of urine, unspecified",Diagnosis
d_4240_9,4240,9,Mitral valve disorders,Diagnosis
d_V4589_9,V4589,9,Other postprocedural status,Diagnosis
d_5121_9,5121,9,Iatrogenic pneumothorax,Diagnosis
d_7873_9,7873,9,"Flatulence, eructation, and gas pain",Diagnosis
d_99832_9,99832,9,Disruption of external operation (surgical) wound,Diagnosis
d_33812_9,33812,9,Acute post-thoracotomy pain,Diagnosis
d_E8782_9,E8782,9,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",Diagnosis
d_V1204_9,V1204,9,Personal history of Methicillin resistant Staphylococcus aureus,Diagnosis
d_99859_9,99859,9,Other postoperative infection,Diagnosis
d_04112_9,04112,9,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,Diagnosis
d_E8497_9,E8497,9,Accidents occurring in residential institution,Diagnosis
d_5109_9,5109,9,Empyema without mention of fistula,Diagnosis
d_51189_9,51189,9,"Other specified forms of effusion, except tuberculous",Diagnosis
d_6822_9,6822,9,Cellulitis and abscess of trunk,Diagnosis
d_34600_9,34600,9,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus",Diagnosis
d_V151_9,V151,9,"Personal history of surgery to heart and great vessels, presenting hazards to health",Diagnosis
d_29181_9,29181,9,Alcohol withdrawal,Diagnosis
d_85221_9,85221,9,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",Diagnosis
d_53081_9,53081,9,Esophageal reflux,Diagnosis
d_E8150_9,E8150,9,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,Diagnosis
d_2749_9,2749,9,"Gout, unspecified",Diagnosis
d_4019_9,4019,9,Unspecified essential hypertension,Diagnosis
d_30391_9,30391,9,"Other and unspecified alcohol dependence, continuous",Diagnosis
d_E8495_9,E8495,9,Street and highway accidents,Diagnosis
d_8054_9,8054,9,Closed fracture of lumbar vertebra without mention of spinal cord injury,Diagnosis
d_V168_9,V168,9,Family history of other specified malignant neoplasm,Diagnosis
d_V161_9,V161,9,"Family history of malignant neoplasm of trachea, bronchus, and lung",Diagnosis
d_04109_9,04109,9,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus",Diagnosis
d_3485_9,3485,9,Cerebral edema,Diagnosis
d_3484_9,3484,9,Compression of brain,Diagnosis
d_3240_9,3240,9,Intracranial abscess,Diagnosis
d_340_9,340,9,Multiple sclerosis,Diagnosis
d_5180_9,5180,9,Pulmonary collapse,Diagnosis
d_3051_9,3051,9,Tobacco use disorder,Diagnosis
d_D696_10,D696,10,"Thrombocytopenia, unspecified",Diagnosis
d_S030XXA_10,S030XXA,10,"Dislocation of jaw, initial encounter",Diagnosis
d_S25512A_10,S25512A,10,"Laceration of intercostal blood vessels, left side, initial encounter",Diagnosis
d_D649_10,D649,10,"Anemia, unspecified",Diagnosis
d_F1010_10,F1010,10,"Alcohol abuse, uncomplicated",Diagnosis
d_S0262XA_10,S0262XA,10,"Fracture of subcondylar process of mandible, initial encounter for closed fracture",Diagnosis
d_Y040XXA_10,Y040XXA,10,"Assault by unarmed brawl or fight, initial encounter",Diagnosis
d_S36892A_10,S36892A,10,"Contusion of other intra-abdominal organs, initial encounter",Diagnosis
d_99811_9,99811,9,Hemorrhage complicating a procedure,Diagnosis
d_V8741_9,V8741,9,Personal history of antineoplastic chemotherapy,Diagnosis
d_20300_9,20300,9,"Multiple myeloma, without mention of having achieved remission",Diagnosis
d_42731_9,42731,9,Atrial fibrillation,Diagnosis
