categoryId:ID,code,icdVersion,title,:LABEL
icd_413_v9,413,9,Angina decubitus,ICD_Category
icd_V70_v9,V70,9,"General psychiatric examination, other and unspecified",ICD_Category
icd_414_v9,414,9,Coronary atherosclerosis of nonautologous biological bypass graft,ICD_Category
icd_389_v9,389,9,Central hearing loss,ICD_Category
icd_V85_v9,V85,9,"Body Mass Index less than 19, adult",ICD_Category
icd_250_v9,250,9,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled",ICD_Category
icd_716_v9,716,9,"Traumatic arthropathy, shoulder region",ICD_Category
icd_V10_v9,V10,9,Personal history of malignant neoplasm of epididymis,ICD_Category
icd_272_v9,272,9,Lipodystrophy,ICD_Category
icd_V58_v9,V58,9,Long-term (current) use of other medications,ICD_Category
icd_278_v9,278,9,Localized adiposity,ICD_Category
icd_482_v9,482,9,Pneumonia due to anaerobes,ICD_Category
icd_995_v9,995,9,Anaphylactic reaction due to eggs,ICD_Category
icd_276_v9,276,9,Hyperpotassemia,ICD_Category
icd_038_v9,038,9,Unspecified septicemia,ICD_Category
icd_787_v9,787,9,Other dysphagia,ICD_Category
icd_560_v9,560,9,Other specified intestinal obstruction,ICD_Category
icd_287_v9,287,9,Qualitative platelet defects,ICD_Category
icd_600_v9,600,9,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),ICD_Category
icd_790_v9,790,9,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],ICD_Category
icd_511_v9,511,9,Pleurisy without mention of effusion or current tuberculosis,ICD_Category
icd_285_v9,285,9,"Anemia, unspecified",ICD_Category
icd_584_v9,584,9,Acute kidney failure with lesion of renal cortical necrosis,ICD_Category
icd_788_v9,788,9,Incomplete bladder emptying,ICD_Category
icd_424_v9,424,9,Endocarditis in diseases classified elsewhere,ICD_Category
icd_V45_v9,V45,9,"Acquired absence of organ, other parts of urinary tract",ICD_Category
icd_512_v9,512,9,Other air leak,ICD_Category
icd_998_v9,998,9,"Postoperative shock, cardiogenic",ICD_Category
icd_338_v9,338,9,Acute post-thoracotomy pain,ICD_Category
icd_E87_v9,E87,9,"Accidental cut, puncture, perforation or hemorrhage during injection or vaccination",ICD_Category
icd_V12_v9,V12,9,"Personal history of endocrine, metabolic, and immunity disorders",ICD_Category
icd_041_v9,041,9,Other and unspecified Escherichia coli [E. coli],ICD_Category
icd_E84_v9,E84,9,Accident to powered aircraft at takeoff or landing injuring other occupant of commercial aircraft (powered) in surface to surface transport,ICD_Category
icd_510_v9,510,9,Empyema without mention of fistula,ICD_Category
icd_682_v9,682,9,"Cellulitis and abscess of leg, except foot",ICD_Category
icd_346_v9,346,9,"Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus",ICD_Category
icd_V15_v9,V15,9,History of extracorporeal membrane oxygenation (ECMO),ICD_Category
icd_291_v9,291,9,Alcohol withdrawal,ICD_Category
icd_852_v9,852,9,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",ICD_Category
icd_530_v9,530,9,Esophageal leukoplakia,ICD_Category
icd_E81_v9,E81,9,Motor vehicle traffic accident involving collision with pedestrian injuring passenger in motor vehicle other than motorcycle,ICD_Category
icd_274_v9,274,9,Other gouty nephropathy,ICD_Category
icd_401_v9,401,9,Malignant essential hypertension,ICD_Category
icd_303_v9,303,9,"Acute alcoholic intoxication in alcoholism, in remission",ICD_Category
icd_805_v9,805,9,Closed fracture of sixth cervical vertebra,ICD_Category
icd_V16_v9,V16,9,Family history of malignant neoplasm of other respiratory and intrathoracic organs,ICD_Category
icd_348_v9,348,9,Anoxic brain damage,ICD_Category
icd_324_v9,324,9,Intracranial abscess,ICD_Category
icd_340_v9,340,9,Multiple sclerosis,ICD_Category
icd_518_v9,518,9,Acute and chronic respiratory failure,ICD_Category
icd_305_v9,305,9,"Sedative, hypnotic or anxiolytic abuse, in remission",ICD_Category
icd_D69_v10,D69,10,Purpura and other hemorrhagic conditions,ICD_Category
icd_S03_v10,S03,10,Dislocation and sprain of joints and ligaments of head,ICD_Category
icd_S25_v10,S25,10,Injury of blood vessels of thorax,ICD_Category
icd_D64_v10,D64,10,Other anemias,ICD_Category
icd_F10_v10,F10,10,Alcohol related disorders,ICD_Category
icd_S02_v10,S02,10,Fracture of skull and facial bones,ICD_Category
icd_Y04_v10,Y04,10,Assault by bodily force,ICD_Category
icd_S36_v10,S36,10,Injury of intra-abdominal organs,ICD_Category
icd_V87_v9,V87,9,Personal history of inhaled steroid therapy,ICD_Category
icd_203_v9,203,9,"Multiple myeloma, without mention of having achieved remission",ICD_Category
icd_427_v9,427,9,Ventricular fibrillation,ICD_Category
icd_362_v9,362,9,Diabetic macular edema,ICD_Category
icd_I48_v10,I48,10,Atrial fibrillation and flutter,ICD_Category
icd_I95_v10,I95,10,Hypotension,ICD_Category
icd_Y83_v10,Y83,10,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",ICD_Category
icd_K51_v10,K51,10,Ulcerative colitis,ICD_Category
icd_E11_v10,E11,10,Type 2 diabetes mellitus,ICD_Category
icd_E78_v10,E78,10,Disorders of lipoprotein metabolism and other lipidemias,ICD_Category
icd_J81_v10,J81,10,Pulmonary edema,ICD_Category
icd_I25_v10,I25,10,Chronic ischemic heart disease,ICD_Category
icd_R09_v10,R09,10,Other symptoms and signs involving the circulatory and respiratory system,ICD_Category
icd_G47_v10,G47,10,Sleep disorders,ICD_Category
icd_D62_v10,D62,10,Acute posthemorrhagic anemia,ICD_Category
icd_Z93_v10,Z93,10,Artificial opening status,ICD_Category
icd_Y92_v10,Y92,10,Place of occurrence of the external cause,ICD_Category
icd_I97_v10,I97,10,"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified",ICD_Category
icd_724_v9,724,9,Lumbago,ICD_Category
icd_E88_v9,E88,9,Accidental fall from ladder,ICD_Category
icd_696_v9,696,9,Psoriatic arthropathy,ICD_Category
icd_812_v9,812,9,Open fracture of surgical neck of humerus,ICD_Category
icd_345_v9,345,9,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy",ICD_Category
icd_585_v9,585,9,"Chronic kidney disease, Stage V",ICD_Category
icd_784_v9,784,9,"Voice and resonance disorder, unspecified",ICD_Category
icd_V43_v9,V43,9,Knee joint replacement,ICD_Category
icd_781_v9,781,9,Lack of coordination,ICD_Category
icd_403_v9,403,9,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified",ICD_Category
icd_V17_v9,V17,9,Family history of stroke (cerebrovascular),ICD_Category
icd_535_v9,535,9,"Gastric mucosal hypertrophy, with hemorrhage",ICD_Category
icd_212_v9,212,9,Benign neoplasm of larynx,ICD_Category
icd_455_v9,455,9,Unspecified thrombosed hemorrhoids,ICD_Category
icd_562_v9,562,9,Diverticulosis of colon (without mention of hemorrhage),ICD_Category
icd_G40_v10,G40,10,Epilepsy and recurrent seizures,ICD_Category
