labTestId:ID,itemId,label,fluid,category,:LABEL
lt_50808,50808,Free Calcium,Blood,Blood Gas,LabTest
lt_50826,50826,Tidal Volume,Blood,Blood Gas,LabTest
lt_50813,50813,Lactate,Blood,Blood Gas,LabTest
lt_52029,52029,% Ionized Calcium,Blood,Blood Gas,LabTest
lt_50801,50801,Alveolar-arterial Gradient,Blood,Blood Gas,LabTest
lt_50810,50810,"Hematocrit, Calculated",Blood,Blood Gas,LabTest
lt_52025,52025,Delete,Blood,Blood Gas,LabTest
lt_52031,52031,Osmolality,Blood,Blood Gas,LabTest
lt_52022,52022,"Albumin, Blood",Blood,Blood Gas,LabTest
lt_50806,50806,"Chloride, Whole Blood",Blood,Blood Gas,LabTest
lt_50820,50820,pH,Blood,Blood Gas,LabTest
lt_52028,52028,Hematocrit,Blood,Blood Gas,LabTest
lt_52036,52036,Voided Specimen,Blood,Blood Gas,LabTest
lt_50812,50812,Intubated,Blood,Blood Gas,LabTest
lt_50817,50817,Oxygen Saturation,Blood,Blood Gas,LabTest
lt_52035,52035,Total Calcium,Blood,Blood Gas,LabTest
lt_50823,50823,Required O2,Blood,Blood Gas,LabTest
lt_52024,52024,"Creatinine, Whole Blood",Blood,Blood Gas,LabTest
lt_52037,52037,WB tCO2,Blood,Blood Gas,LabTest
lt_50815,50815,O2 Flow,Blood,Blood Gas,LabTest
lt_52452,52452,"Potassium, Whole Blood",Blood,Blood Gas,LabTest
lt_50804,50804,Calculated Total CO2,Blood,Blood Gas,LabTest
lt_52030,52030,Lithium,Blood,Blood Gas,LabTest
lt_50811,50811,Hemoglobin,Blood,Blood Gas,LabTest
lt_50824,50824,"Sodium, Whole Blood",Blood,Blood Gas,LabTest
lt_52033,52033,Specimen Type,Blood,Blood Gas,LabTest
lt_52027,52027,"Glucose, Whole Blood",Blood,Blood Gas,LabTest
lt_50802,50802,Base Excess,Blood,Blood Gas,LabTest
lt_50814,50814,Methemoglobin,Blood,Blood Gas,LabTest
lt_52034,52034,Total Calcium,Blood,Blood Gas,LabTest
lt_52442,52442,Lactate,Blood,Blood Gas,LabTest
lt_50818,50818,pCO2,Blood,Blood Gas,LabTest
lt_50828,50828,Ventilator,Blood,Blood Gas,LabTest
lt_50809,50809,Glucose,Blood,Blood Gas,LabTest
lt_50821,50821,pO2,Blood,Blood Gas,LabTest
lt_52026,52026,Estimated GFR (MDRD equation),Blood,Blood Gas,LabTest
lt_52434,52434,"Chloride, Whole Blood",Blood,Blood Gas,LabTest
lt_50803,50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,LabTest
lt_52023,52023,Assist/Control,Blood,Blood Gas,LabTest
lt_50822,50822,"Potassium, Whole Blood",Blood,Blood Gas,LabTest
lt_50827,50827,Ventilation Rate,Blood,Blood Gas,LabTest
lt_52032,52032,P50 of Hemoglobin,Blood,Blood Gas,LabTest
lt_50819,50819,PEEP,Blood,Blood Gas,LabTest
lt_52021,52021,Abz,Blood,Blood Gas,LabTest
lt_50805,50805,Carboxyhemoglobin,Blood,Blood Gas,LabTest
lt_50816,50816,Oxygen,Blood,Blood Gas,LabTest
lt_50825,50825,Temperature,Blood,Blood Gas,LabTest
lt_52455,52455,"Sodium, Whole Blood",Blood,Blood Gas,LabTest
