medicationId:ID,drugName,:LABEL
med_0,Fentanyl Citrate,Medication
med_1,Lorazepam,Medication
med_2,Midazolam,Medication
med_3,Insulin Pump (Self Administering Medication),Medication
med_4,Propofol,Medication
med_5,Insulin,Medication
med_6,Albuterol 0.083% Neb Soln,Medication
med_7,Calcium Gluconate sliding scale (Critical Care-Ionized calcium),Medication
med_8,Vancomycin,Medication
med_9,venetoclax,Medication
med_10,ruxolitinib,Medication
med_11,vancomycin,Medication
med_12,Lenalidomide (Revlimide)15mg,Medication
med_13,Bag,Medication
med_14,Multivitamins,Medication
med_15,Tuberculin Protein,Medication
med_16,Syringe,Medication
med_17,Click Change <--- to Choose a Base Solution,Medication
med_18,Acetaminophen-Caff-Butalbital,Medication
med_19,Neutra-Phos,Medication
med_20,OxyCODONE--Acetaminophen (5mg-325mg),Medication
med_21,Oxycodone-Acetaminophen,Medication
med_22,Oxycodone-Acetaminophen (5mg-325mg),Medication
med_23,Tiotropium Bromide,Medication
med_24,Vial,Medication
med_25,ALPRAZolam,Medication
med_26,Zolpidem Tartrate,Medication
med_27,Amlodipine,Medication
med_28,amLODIPine,Medication
med_29,Ampicillin Sodium,Medication
med_30,Apixaban,Medication
med_31,Aspirin,Medication
med_32,Sucralfate,Medication
med_33,CloNIDine,Medication
med_34,CloniDINE,Medication
med_35,Chlorpheniramine Maleate,Medication
med_36,ClonazePAM,Medication
med_37,Clonazepam,Medication
med_38,Colchicine,Medication
med_39,Dexamethasone,Medication
med_40,Diazepam,Medication
med_41,Donepezil,Medication
med_42,Enoxaparin Sodium,Medication
med_43,Finasteride,Medication
med_44,FoLIC Acid,Medication
med_45,Glutamine,Medication
med_46,GlyBURIDE,Medication
med_47,HYDROmorphone (Dilaudid),Medication
med_48,Isosorbide Dinitrate,Medication
med_49,Lidocaine Jelly 2% (Urojet),Medication
med_50,Lisinopril,Medication
med_51,LOPERamide,Medication
med_52,LORazepam,Medication
med_53,Methadone,Medication
med_54,Metolazone,Medication
med_55,Midodrine,Medication
med_56,Multivitamins W/minerals,Medication
med_57,Sodium Chloride,Medication
med_58,Nephrocaps,Medication
med_59,Nicotine Polacrilex,Medication
med_60,OLANZapine,Medication
med_61,Ondansetron,Medication
med_62,OxycoDONE (Immediate Release),Medication
med_63,OxyCODONE (Immediate Release),Medication
med_64,Perphenazine,Medication
med_65,Phytonadione,Medication
med_66,Prazosin,Medication
med_67,PredniSONE,Medication
med_68,Prochlorperazine,Medication
med_69,Ramelteon,Medication
med_70,Sarna Lotion,Medication
med_71,Tacrolimus,Medication
med_72,Tizanidine,Medication
med_73,Vitamin B Complex,Medication
med_74,Warfarin,Medication
med_75,AcetaZOLamide,Medication
med_76,NIFEdipine CR,Medication
med_77,Albumin 25% (12.5g / 50mL),Medication
med_78,Alprazolam,Medication
med_79,Amitriptyline,Medication
med_80,Atenolol,Medication
med_81,Atorvastatin,Medication
med_82,Aztreonam,Medication
med_83,Baclofen,Medication
med_84,Sulfameth/Trimethoprim DS,Medication
med_85,Sulfameth/Trimethoprim SS,Medication
med_86,BuPROPion,Medication
med_87,BusPIRone,Medication
med_88,Calcitriol,Medication
med_89,Calcium Gluconate,Medication
med_90,Captopril,Medication
med_91,CefazoLIN,Medication
med_92,CeFAZolin,Medication
med_93,CefePIME,Medication
med_94,CefTRIAXone,Medication
med_95,CefTAZidime,Medication
med_96,CeftriaXONE,Medication
med_97,Cetirizine,Medication
med_98,Chlorthalidone,Medication
med_99,Cinacalcet,Medication
med_100,Citalopram,Medication
med_101,Clonidine Patch 0.2 mg/24 hr,Medication
med_102,Clonidine Patch 0.3 mg/24 hr,Medication
med_103,Clopidogrel,Medication
med_104,Clotrimazole,Medication
med_105,Losartan Potassium,Medication
med_106,Cyanocobalamin,Medication
med_107,Cyclobenzaprine,Medication
med_108,Cytarabine,Medication
med_109,Diazepam - CIWA protocol,Medication
med_110,Digoxin,Medication
med_111,Diltiazem,Medication
med_112,DiphenhydrAMINE,Medication
med_113,Dronabinol,Medication
med_114,*NF* Ertapenem Sodium,Medication
med_115,Escitalopram Oxalate,Medication
med_116,Ezetimibe,Medication
med_117,Febuxostat,Medication
med_118,Fenofibrate,Medication
med_119,Fexofenadine,Medication
med_120,Furosemide,Medication
med_121,ZIPRASidone Hydrochloride,Medication
med_122,GlipiZIDE,Medication
med_123,Glucagon,Medication
med_124,Polyethylene Glycol,Medication
med_125,Golytely,Medication
med_126,Guaifenesin,Medication
med_127,HYDROmorphone,Medication
med_128,Haloperidol,Medication
med_129,Hydrocortisone Na Succ.,Medication
med_130,Hydrochlorothiazide,Medication
med_131,Heparin,Medication
med_132,Heparin (CRRT Machine Priming),Medication
med_133,HydrOXYzine,Medication
med_134,HydrALAZINE,Medication
med_135,HydrALAzine,Medication
med_136,23.4% Sodium Chloride,Medication
med_137,Isosorbide Mononitrate (Extended Release),Medication
med_138,Isosorbide Mononitrate,Medication
med_139,Insulin Human Regular,Medication
med_140,Ipratropium-Albuterol Neb,Medication
med_141,Ipratropium Bromide Neb,Medication
med_142,Potassium Chloride,Medication
med_143,Potassium Chloride Replacement (Critical Care and Oncology),Medication
med_144,Potassium Chloride (Powder),Medication
med_145,Levofloxacin,Medication
med_146,Levothyroxine Sodium,Medication
med_147,Lidocaine 5% Patch,Medication
med_148,Loratadine,Medication
med_149,Lactated Ringers,Medication
med_150,LR,Medication
med_151,Magnesium Sulfate,Medication
med_152,Meropenem,Medication
med_153,Metoclopramide,Medication
med_154,Metoprolol Tartrate,Medication
med_155,Miconazole 2% Cream,Medication
med_156,Miconazole Powder 2%,Medication
med_157,Mirtazapine,Medication
med_158,Milk of Magnesia,Medication
med_159,Morphine Sulfate (Oral Solution) 2 mg/mL,Medication
med_160,Morphine Sulfate IR,Medication
med_161,Morphine Sulfate,Medication
med_162,Morphine SR (MS Contin),Medication
med_163,Multivitamin IV,Medication
med_164,Nystatin-Triamcinolone Cream,Medication
med_165,Naloxone,Medication
med_166,Nicotine Patch,Medication
med_167,NIFEdipine,Medication
med_168,0.9% Sodium Chloride,Medication
med_169,Nitroglycerin SL,Medication
med_170,Nystatin Oral Suspension,Medication
med_171,Omeprazole,Medication
med_172,OSELTAMivir,Medication
med_173,Oseltamivir,Medication
med_174,OxyCODONE SR (OxyconTIN),Medication
med_175,Oxycodone SR (OxyconTIN),Medication
med_176,Pantoprazole,Medication
med_177,PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),Medication
med_178,Famotidine,Medication
med_179,Prasugrel,Medication
med_180,Pravastatin,Medication
med_181,Pregabalin,Medication
med_182,Propranolol,Medication
med_183,Fluoxetine,Medication
med_184,FLUoxetine,Medication
med_185,Pseudoephedrine,Medication
med_186,Psyllium Wafer,Medication
med_187,QUEtiapine Fumarate,Medication
med_188,Quetiapine Fumarate,Medication
med_189,riluzole,Medication
med_190,RISperidone,Medication
med_191,Rivaroxaban,Medication
med_192,Rosuvastatin Calcium,Medication
med_193,Senna,Medication
med_194,Sertraline,Medication
med_195,Simethicone,Medication
med_196,Simvastatin,Medication
med_197,Sodium Chloride 3% Inhalation Soln,Medication
med_198,Sotalol,Medication
med_199,Spironolactone,Medication
med_200,Sterile Water,Medication
med_201,Tamsulosin,Medication
med_202,AndroGel,Medication
med_203,TiCAGRELOR,Medication
med_204,Topiramate (Topamax),Medication
med_205,Metoprolol Succinate XL,Medication
med_206,Torsemide,Medication
med_207,TraMADOL (Ultram),Medication
med_208,TraMADol,Medication
med_209,traZODONE,Medication
med_210,TraZODone,Medication
med_211,Ampicillin-Sulbactam,Medication
med_212,Valsartan,Medication
med_213,Verapamil,Medication
med_214,Vitamin B Complex w/C,Medication
med_215,Voriconazole,Medication
med_216,Acetaminophen,Medication
med_217,Acyclovir,Medication
med_218,Albumin 25%,Medication
med_219,Albuterol Inhaler,Medication
med_220,Allopurinol,Medication
med_221,Amantadine,Medication
