:START_ID,:END_ID,:TYPE
d_4139_9,icd_413_v9,BELONGS_TO_CATEGORY
d_V707_9,icd_V70_v9,BELONGS_TO_CATEGORY
d_41401_9,icd_414_v9,BELONGS_TO_CATEGORY
d_3899_9,icd_389_v9,BELONGS_TO_CATEGORY
d_V8532_9,icd_V85_v9,BELONGS_TO_CATEGORY
d_25002_9,icd_250_v9,BELONGS_TO_CATEGORY
d_71696_9,icd_716_v9,BELONGS_TO_CATEGORY
d_V1083_9,icd_V10_v9,BELONGS_TO_CATEGORY
d_2724_9,icd_272_v9,BELONGS_TO_CATEGORY
d_V5867_9,icd_V58_v9,BELONGS_TO_CATEGORY
d_27800_9,icd_278_v9,BELONGS_TO_CATEGORY
d_4829_9,icd_482_v9,BELONGS_TO_CATEGORY
d_99592_9,icd_995_v9,BELONGS_TO_CATEGORY
d_2768_9,icd_276_v9,BELONGS_TO_CATEGORY
d_0388_9,icd_038_v9,BELONGS_TO_CATEGORY
d_78791_9,icd_787_v9,BELONGS_TO_CATEGORY
d_5601_9,icd_560_v9,BELONGS_TO_CATEGORY
d_2875_9,icd_287_v9,BELONGS_TO_CATEGORY
d_60001_9,icd_600_v9,BELONGS_TO_CATEGORY
d_79092_9,icd_790_v9,BELONGS_TO_CATEGORY
d_5110_9,icd_511_v9,BELONGS_TO_CATEGORY
d_2859_9,icd_285_v9,BELONGS_TO_CATEGORY
d_5849_9,icd_584_v9,BELONGS_TO_CATEGORY
d_78820_9,icd_788_v9,BELONGS_TO_CATEGORY
d_4240_9,icd_424_v9,BELONGS_TO_CATEGORY
d_V4589_9,icd_V45_v9,BELONGS_TO_CATEGORY
d_5121_9,icd_512_v9,BELONGS_TO_CATEGORY
d_7873_9,icd_787_v9,BELONGS_TO_CATEGORY
d_99832_9,icd_998_v9,BELONGS_TO_CATEGORY
d_33812_9,icd_338_v9,BELONGS_TO_CATEGORY
d_E8782_9,icd_E87_v9,BELONGS_TO_CATEGORY
d_V1204_9,icd_V12_v9,BELONGS_TO_CATEGORY
d_99859_9,icd_998_v9,BELONGS_TO_CATEGORY
d_04112_9,icd_041_v9,BELONGS_TO_CATEGORY
d_E8497_9,icd_E84_v9,BELONGS_TO_CATEGORY
d_5109_9,icd_510_v9,BELONGS_TO_CATEGORY
d_51189_9,icd_511_v9,BELONGS_TO_CATEGORY
d_6822_9,icd_682_v9,BELONGS_TO_CATEGORY
d_34600_9,icd_346_v9,BELONGS_TO_CATEGORY
d_V151_9,icd_V15_v9,BELONGS_TO_CATEGORY
d_29181_9,icd_291_v9,BELONGS_TO_CATEGORY
d_85221_9,icd_852_v9,BELONGS_TO_CATEGORY
d_53081_9,icd_530_v9,BELONGS_TO_CATEGORY
d_E8150_9,icd_E81_v9,BELONGS_TO_CATEGORY
d_2749_9,icd_274_v9,BELONGS_TO_CATEGORY
d_4019_9,icd_401_v9,BELONGS_TO_CATEGORY
d_30391_9,icd_303_v9,BELONGS_TO_CATEGORY
d_E8495_9,icd_E84_v9,BELONGS_TO_CATEGORY
d_8054_9,icd_805_v9,BELONGS_TO_CATEGORY
d_V168_9,icd_V16_v9,BELONGS_TO_CATEGORY
d_V161_9,icd_V16_v9,BELONGS_TO_CATEGORY
d_04109_9,icd_041_v9,BELONGS_TO_CATEGORY
d_3485_9,icd_348_v9,BELONGS_TO_CATEGORY
d_3484_9,icd_348_v9,BELONGS_TO_CATEGORY
d_3240_9,icd_324_v9,BELONGS_TO_CATEGORY
d_340_9,icd_340_v9,BELONGS_TO_CATEGORY
d_5180_9,icd_518_v9,BELONGS_TO_CATEGORY
d_3051_9,icd_305_v9,BELONGS_TO_CATEGORY
d_D696_10,icd_D69_v10,BELONGS_TO_CATEGORY
d_S030XXA_10,icd_S03_v10,BELONGS_TO_CATEGORY
d_S25512A_10,icd_S25_v10,BELONGS_TO_CATEGORY
d_D649_10,icd_D64_v10,BELONGS_TO_CATEGORY
d_F1010_10,icd_F10_v10,BELONGS_TO_CATEGORY
d_S0262XA_10,icd_S02_v10,BELONGS_TO_CATEGORY
d_Y040XXA_10,icd_Y04_v10,BELONGS_TO_CATEGORY
d_S36892A_10,icd_S36_v10,BELONGS_TO_CATEGORY
d_99811_9,icd_998_v9,BELONGS_TO_CATEGORY
d_V8741_9,icd_V87_v9,BELONGS_TO_CATEGORY
d_20300_9,icd_203_v9,BELONGS_TO_CATEGORY
